GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 500
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.85
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 1

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 19,528,150 dinara  (9736.34s)

================================================================================
  MEDIJANA: 19,528,150.0 dinara
  NAJBOLJI: 19,528,150 dinara
  NAJGORI:  19,528,150 dinara

  UKUPNO VREME:  9736.34s
  PROSECNO VREME: 9736.34s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

    Gen  418: 19,521,515
    Gen  419: 19,521,581
    Gen  420: 19,521,636
    Gen  421: 19,521,730
    Gen  422: 19,521,801
    Gen  423: 19,521,854
    Gen  424: 19,521,981
    Gen  425: 19,522,020
    Gen  426: 19,522,122
    Gen  427: 19,522,134
    Gen  428: 19,522,144
    Gen  429: 19,522,170
    Gen  430: 19,522,215
    Gen  431: 19,522,400
    Gen  432: 19,522,441
    Gen  433: 19,522,441
    Gen  434: 19,522,498
    Gen  435: 19,522,586
    Gen  436: 19,522,586
    Gen  437: 19,522,606
    Gen  438: 19,522,659
    Gen  439: 19,522,713
    Gen  440: 19,522,714
    Gen  441: 19,522,758
    Gen  442: 19,522,792
    Gen  443: 19,522,818
    Gen  444: 19,522,856
    Gen  445: 19,522,886
    Gen  446: 19,522,921
    Gen  447: 19,522,959
    Gen  448: 19,523,040
    Gen  449: 19,523,068
    Gen  450: 19,523,106
    Gen  451: 19,523,151
    Gen  452: 19,523,205
    Gen  453: 19,523,285
    Gen  454: 19,523,449
    Gen  455: 19,523,460
    Gen  456: 19,523,464
    Gen  457: 19,523,505
    Gen  458: 19,523,582
    Gen  459: 19,523,895
    Gen  460: 19,523,927
    Gen  461: 19,523,963
    Gen  462: 19,524,021
    Gen  463: 19,524,021
    Gen  464: 19,524,038
    Gen  465: 19,524,057
    Gen  466: 19,524,081
    Gen  467: 19,524,133
    Gen  468: 19,525,642
    Gen  469: 19,525,642
    Gen  470: 19,525,755
    Gen  471: 19,525,862
    Gen  472: 19,526,006
    Gen  473: 19,526,242
    Gen  474: 19,526,242
    Gen  475: 19,526,410
    Gen  476: 19,526,501
    Gen  477: 19,526,551
    Gen  478: 19,526,671
    Gen  479: 19,526,847
    Gen  480: 19,526,885
    Gen  481: 19,526,890
    Gen  482: 19,526,960
    Gen  483: 19,527,020
    Gen  484: 19,527,430
    Gen  485: 19,527,462
    Gen  486: 19,527,474
    Gen  487: 19,527,505
    Gen  488: 19,527,521
    Gen  489: 19,527,528
    Gen  490: 19,527,567
    Gen  491: 19,527,628
    Gen  492: 19,527,652
    Gen  493: 19,527,690
    Gen  494: 19,527,703
    Gen  495: 19,527,721
    Gen  496: 19,527,729
    Gen  497: 19,527,765
    Gen  498: 19,527,955
    Gen  499: 19,528,150
