GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 1
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88686 dinara  (0.11s)
  Pokretanje 2: 88324 dinara  (0.08s)
  Pokretanje 3: 88546 dinara  (0.15s)
  Pokretanje 4: 88760 dinara  (0.08s)
  Pokretanje 5: 88665 dinara  (0.08s)
  Pokretanje 6: 88798 dinara  (0.08s)
  Pokretanje 7: 88592 dinara  (0.08s)
  Pokretanje 8: 88409 dinara  (0.08s)
  Pokretanje 9: 88323 dinara  (0.08s)
  Pokretanje 10: 88602 dinara  (0.08s)
  Pokretanje 11: 88627 dinara  (0.08s)
  Pokretanje 12: 88529 dinara  (0.08s)
  Pokretanje 13: 88560 dinara  (0.08s)
  Pokretanje 14: 88566 dinara  (0.08s)
  Pokretanje 15: 88549 dinara  (0.08s)

  PROSEK:   88569.1
  MEDIJANA: 88566.0
  NAJBOLJI: 88798
    Gen   31: 87283
    Gen   32: 87396
    Gen   33: 87428
    Gen   34: 87446
    Gen   35: 87507
    Gen   36: 87533
    Gen   37: 87582
    Gen   38: 87609
    Gen   39: 87635
    Gen   40: 87723
    Gen   41: 87729
    Gen   42: 87749
    Gen   43: 87775
    Gen   44: 87815
    Gen   45: 87831
    Gen   46: 87884
    Gen   47: 87890
    Gen   48: 87912
    Gen   49: 87919
    Gen   50: 87940
    Gen   51: 87961
    Gen   52: 87982
    Gen   53: 87995
    Gen   54: 88009
    Gen   55: 88025
    Gen   56: 88082
    Gen   57: 88082
    Gen   58: 88103
    Gen   59: 88109
    Gen   60: 88125
    Gen   61: 88137
    Gen   62: 88139
    Gen   63: 88160
    Gen   64: 88170
    Gen   65: 88170
    Gen   66: 88174
    Gen   67: 88184
    Gen   68: 88191
    Gen   69: 88197
    Gen   70: 88206
    Gen   71: 88218
    Gen   72: 88233
    Gen   73: 88242
    Gen   74: 88261
    Gen   75: 88262
    Gen   76: 88267
    Gen   77: 88274
    Gen   78: 88290
    Gen   79: 88290
    Gen   80: 88301
    Gen   81: 88313
    Gen   82: 88320
    Gen   83: 88341
    Gen   84: 88349
    Gen   85: 88355
    Gen   86: 88365
    Gen   87: 88373
    Gen   88: 88380
    Gen   89: 88380
    Gen   90: 88383
    Gen   91: 88387
    Gen   92: 88391
    Gen   93: 88395
    Gen   94: 88399
    Gen   95: 88403
    Gen   96: 88405
    Gen   97: 88407
    Gen   98: 88409
    Gen   99: 88409

  Pokretanje 9:
    Gen    0: 73149
    Gen    1: 76503
    Gen    2: 78485
    Gen    3: 79324
    Gen    4: 80845
    Gen    5: 81851
    Gen    6: 82284
    Gen    7: 83052
    Gen    8: 83446
    Gen    9: 84248
    Gen   10: 84362
    Gen   11: 84745
    Gen   12: 85037
    Gen   13: 85160
    Gen   14: 85422
    Gen   15: 85588
    Gen   16: 85914
    Gen   17: 85914
    Gen   18: 86041
    Gen   19: 86167
    Gen   20: 86281
    Gen   21: 86400
    Gen   22: 86508
    Gen   23: 86595
    Gen   24: 86722
    Gen   25: 86777
    Gen   26: 86938
    Gen   27: 86982
    Gen   28: 87014
    Gen   29: 87066
    Gen   30: 87112
    Gen   31: 87200
    Gen   32: 87243
    Gen   33: 87280
    Gen   34: 87341
    Gen   35: 87362
    Gen   36: 87459
    Gen   37: 87468
    Gen   38: 87558
    Gen   39: 87579
    Gen   40: 87646
    Gen   41: 87669
    Gen   42: 87693
    Gen   43: 87709
    Gen   44: 87731
    Gen   45: 87755
    Gen   46: 87796
    Gen   47: 87811
    Gen   48: 87824
    Gen   49: 87865
    Gen   50: 87869
    Gen   51: 87889
    Gen   52: 87902
